word,count
and,167
the,154
is,127
this,95
music,88
it,83
song,72
in,66
like,63
of,61
to,57
with,52
can,48
be,47
as,44
there,44
has,43
guitar,43
singing,41
very,39
rock,36
that,35
described,35
sounds,32
slow,31
upbeat,29
drums,28
you,25
but,24
background,23
by,23
an,23
beat,23
vocals,23
more,22
voice,22
hear,22
man,21
would,20
male,20
on,18
not,18
pop,18
some,17
or,16
country,16
woman,16
sung,16
good,15
instrumental,14
style,14
tune,13
guy,13
lyrics,13
something,12
electric,12
bass,12
feeling,12
are,11
one,11
jazz,10
back,10
their,10
sound,10
at,10
beats,10
strong,10
listen,9
movie,9
vibes,9
female,9
dramatic,9
fast,9
sad,9
super,8
where,8
yet,8
much,8
me,8
main,8
different,8
sort,8
know,7
about,7
heavy,7
lot,7
screaming,7
up,7
rap,7
no,7
play,7
piano,7
also,7
maybe,7
language,7
paced,7
hip,7
hop,7
just,6
modern,6
time,6
almost,6
someone,6
girl,6
end,6
nice,6
think,6
older,6
rhythm,6
techno,6
playing,6
singer,6
high,6
instruments,6
calm,6
makes,6
soft,6
type,6
focus,6
line,5
youre,5
so,5
they,5
what,5
beginning,5
down,5
kind,5
feels,5
really,5
words,5
from,5
into,5
feel,5
don't,5
vocal,5
seems,5
emotional,5
slower,5
soundtrack,5
multiple,5
another,5
keyboard,5
tone,5
foreign,5
classic,5
he,5
rapping,5
sounding,5
word,5
minimal,5
gets,4
who,4
want,4
other,4
reminds,4
its,4
talking,4
loud,4
metal,4
too,4
than,4
head,4
giving,4
theme,4
character,4
when,4
then,4
her,4
definitely,4
number,4
love,4
those,4
it's,4
punk,4
roll,4
melancholic,4
well,4
percussion,4
driving,4
features,4
calmer,4
production,4
evokes,4
epic,4
intense,3
score,3
if,3
all,3
middle,3
funky,3
out,3
walking,3
world,3
your,3
bit,3
get,3
have,3
vibe,3
how,3
for,3
first,3
dreamy,3
while,3
slightly,3
drops,3
generic,3
early,3
my,3
isn't,3
genre,3
disney,3
rnb,3
opera,3
little,3
orchestra,3
acoustic,3
backup,3
violin,3
hard,3
guitars,3
english,3
lots,3
involved,3
interesting,3
spanish,3
drumns,3
violins,3
repeated,3
could,3
combination,3
southern,3
underneath,3
featuring,3
simple,3
major,3
emphasis,3
instrument,3
similar,3
feelings,3
dance,3
ending,2
video,2
game,2
before,2
do,2
everything,2
old,2
dads,2
dont,2
through,2
together,2
theyre,2
doing,2
over,2
couple,2
laying,2
life,2
day,2
except,2
such,2
autotune,2
ai,2
show,2
find,2
mario,2
kart,2
rain,2
anything,2
ear,2
enough,2
paying,2
attention,2
river,2
staring,2
off,2
city,2
actually,2
definition,2
accent,2
musical,2
else,2
club,2
cloudy,2
grunge,2
honestly,2
called,2
match,2
any,2
solo,2
was,2
trumpet,2
only,2
songs,2
alternative,2
give,2
people,2
added,2
drum,2
things,2
produced,2
