id,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics
72dda986-55c6-450e-878e-bf0e6fdb5894,"a dark and sad country instrumental, acoustic guitar, slow, light drums, downtempo melancholic, (70 bpm), depressed,",country,dark|sad|melancholic|depressed,instrumental|acoustic guitar|light drums,,,slow|downtempo|70 bpm,
01d43ee2-c6ff-4b66-aac6-bfe70e1b613a,"contemporary r&b, soul jazz, female vocalist, smooth soul, r&b, pop soul, soul, Strong female vocals, funk,",contemporary r&b|soul jazz|r&b|pop soul|soul|funk,,female vocalist|strong female vocals,smooth soul,,,
56487772-7530-4ead-a83a-8db2c4c29583,a song about losing my keys in the style of amy winehouse,amy winehouse,,,,,,losing my keys
93a18e93-3e7e-4dfb-94ad-4cc4026c16ec,"Americana, Country, Bluegrass, Melodic, Passionate, Lush, Rhythmic, male vocalist, anthemic, uplifting, pop, playful,",americana|country|bluegrass|pop,passionate|uplifting|playful,male vocalist,lush,,melodic|rhythmic|anthemic,
e7de29c9-e9dd-4a06-aa8d-4389eccadaee,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,",baroque pop|dreamy pop|boy band|piano jazz|deep house|chillout,romantic,electric cello,,,,
837f7d1b-23e2-4a0f-8b8a-92a7c4669a41,"Song about the power of love of a couple, opera, male voice",opera,,male voice,,,,power of love|couple
8395a570-7ed2-4c0c-a4f6-249e969ae66c,"a song about freelancers working on artificial intelligence projects on freelancer.com , pop,",pop,,,,,,freelancers working on artificial intelligence projects on freelancer.com
8399844f-3c3d-44c7-b5a3-6665e6725b4c,"Add male vocalist with Russian accent. A screaming incoherently punk song called ""5 minutes with Derrick""",punk,,male vocalist,screaming|incoherently|russian accent,,,5 minutes with derrick
a5ac307b-e75d-47b1-90e3-89447e59a26a,"Grime, fast-paced, energetic, urban, aggressive, gritty, raw, intense, rhythmic, dynamic",grime,energetic|urban|aggressive|intense,,gritty|raw,,fast-paced|rhythmic|dynamic,
45aa2509-8554-4bf3-88fb-e26a0bab1c69,"song about rubber ducks in the bath, heavy distorted guitar, deep bass, nu metal, rap rock",nu metal|rap rock,,guitar|bass,heavy|distorted|deep,,,rubber ducks in the bath
45b5e210-3659-4726-975a-b201487962e9,"rock, pop rock, alternative rock song about doo doo boy and his doo doo town",rock|pop rock|alternative rock,,,,,,doo doo boy|doo doo town
291b2f9c-c41b-4ab8-9161-d4214259419b,a jimmy buffet style tropical song about two cats lili and boomer enjoying the tradewinds and listening to the birds,jimmy buffet style|tropical,,,,,,two cats lili and boomer|enjoying the tradewinds|listening to the birds
df0117f3-743c-460c-905d-835ffb820bd3,"male vocalist, concept album, hard rock, warm, in the style of green day",hard rock|in the style of green day,,male vocalist,warm,,,concept album
df09d518-7cb4-43d2-b4b4-74b5b0c9500e,"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s",phonk,rage,,,,beats intro|mad 808s,playboi carti
f8439571-23e6-4c8a-900b-9323671ff4c9,"hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,",hip hop|hardcore hip hop|gangsta rap|east coast rap|west coast hip hop,,,,,,
f87d8dbf-83a9-4c58-a66d-f3d86e8ece8b,"Love and loss in north west England , pop rock,",pop rock,love and loss,,,,,north west england
b1c7f9c0-da77-440b-8ed9-6d5d7979ba3e,A Beatles style song about two little kittens named rookie and Coco,beatles style,,,,,,two little kittens named rookie and coco
0a1282d5-b306-49f4-b0ff-f945c2ed2407,"A song about programmer named Emmanuel who became disillusioned with the corporate world and became a baker., jazz, soul jazz,",jazz|soul jazz,disillusioned,,,,,programmer named emmanuel|corporate world|became a baker
4edf7524-0d23-48f2-906a-ed5cc10c9197,Write a melodic yet comedic song with sombre tones about eating lots of sausage,,comedic|sombre,,,,melodic,eating lots of sausage
85c89132-e0ce-42d5-973e-e0198f60e894,"a song about coming home after a long time, pop, indie, bass, japanese rock",pop|indie|japanese rock,,bass,,,,coming home after a long time
304f77ae-6961-4c73-b240-b82c6d9837c1,"synth-pop, house, about chicken on a stick and fish oil",synth-pop|house,,,,,,chicken on a stick|fish oil
9a12553b-7ae1-4e35-9c24-de4224ba47ba,Carrie is off school sick with a bad cough but can play PlayStation,,,,,,,carrie is off school sick with a bad cough but can play playstation
9a2bd396-3954-4d40-b3bd-dc97f611ae73,"guitar jazz, old french singer with south accent, sad ballade",jazz|ballade,sad,guitar|singer,old|south accent,,,
9a30a0c9-b192-4113-bc71-6b6b57bf15cf,"A singer songwriter war protest song, seventies style, about a manicure set",singer songwriter|seventies style,,,,,,war protest song|about a manicure set
9a496feb-6a67-4f22-abf9-a46b34ff68ba,"pop rock, electronic, rock, male rock lead, synth-pop, male vocalist, catchy chorus",pop rock|electronic|rock|synth-pop,,male rock lead|male vocalist,,,catchy chorus,
9a4d75e7-de00-4931-9105-4d53c84471bf,A 90s hip hop rap about how fried chicken is the best food on the planet,90s hip hop|rap,,,,,,fried chicken is the best food on the planet
