text_id,song_id,corpus,category,presence,density
p00000,72dda986-55c6-450e-8,prompt,genre,1,0.1
p00000,72dda986-55c6-450e-8,prompt,mood,1,0.4
p00000,72dda986-55c6-450e-8,prompt,instrumentation,1,0.2
p00000,72dda986-55c6-450e-8,prompt,timbre,0,0.0
p00000,72dda986-55c6-450e-8,prompt,function,0,0.0
p00000,72dda986-55c6-450e-8,prompt,theory,1,0.3
p00000,72dda986-55c6-450e-8,prompt,story,0,0.0
p00001,01d43ee2-c6ff-4b66-a,prompt,genre,1,0.7777777777777778
p00001,01d43ee2-c6ff-4b66-a,prompt,mood,0,0.0
p00001,01d43ee2-c6ff-4b66-a,prompt,instrumentation,1,0.2222222222222222
p00001,01d43ee2-c6ff-4b66-a,prompt,timbre,0,0.0
p00001,01d43ee2-c6ff-4b66-a,prompt,function,0,0.0
p00001,01d43ee2-c6ff-4b66-a,prompt,theory,0,0.0
p00001,01d43ee2-c6ff-4b66-a,prompt,story,0,0.0
p00002,56487772-7530-4ead-a,prompt,genre,1,0.5
p00002,56487772-7530-4ead-a,prompt,mood,0,0.0
p00002,56487772-7530-4ead-a,prompt,instrumentation,0,0.0
p00002,56487772-7530-4ead-a,prompt,timbre,0,0.0
p00002,56487772-7530-4ead-a,prompt,function,0,0.0
p00002,56487772-7530-4ead-a,prompt,theory,0,0.0
p00002,56487772-7530-4ead-a,prompt,story,1,0.5
p00003,93a18e93-3e7e-4dfb-9,prompt,genre,1,0.3333333333333333
p00003,93a18e93-3e7e-4dfb-9,prompt,mood,1,0.25
p00003,93a18e93-3e7e-4dfb-9,prompt,instrumentation,1,0.0833333333333333
p00003,93a18e93-3e7e-4dfb-9,prompt,timbre,1,0.0833333333333333
p00003,93a18e93-3e7e-4dfb-9,prompt,function,0,0.0
p00003,93a18e93-3e7e-4dfb-9,prompt,theory,1,0.25
p00003,93a18e93-3e7e-4dfb-9,prompt,story,0,0.0
p00004,e7de29c9-e9dd-4a06-a,prompt,genre,1,0.625
p00004,e7de29c9-e9dd-4a06-a,prompt,mood,1,0.25
p00004,e7de29c9-e9dd-4a06-a,prompt,instrumentation,1,0.125
p00004,e7de29c9-e9dd-4a06-a,prompt,timbre,0,0.0
p00004,e7de29c9-e9dd-4a06-a,prompt,function,0,0.0
p00004,e7de29c9-e9dd-4a06-a,prompt,theory,0,0.0
p00004,e7de29c9-e9dd-4a06-a,prompt,story,0,0.0
p00005,837f7d1b-23e2-4a0f-8,prompt,genre,1,0.25
p00005,837f7d1b-23e2-4a0f-8,prompt,mood,0,0.0
p00005,837f7d1b-23e2-4a0f-8,prompt,instrumentation,1,0.25
p00005,837f7d1b-23e2-4a0f-8,prompt,timbre,0,0.0
p00005,837f7d1b-23e2-4a0f-8,prompt,function,0,0.0
p00005,837f7d1b-23e2-4a0f-8,prompt,theory,0,0.0
p00005,837f7d1b-23e2-4a0f-8,prompt,story,1,0.5
p00006,8395a570-7ed2-4c0c-a,prompt,genre,1,0.25
p00006,8395a570-7ed2-4c0c-a,prompt,mood,0,0.0
p00006,8395a570-7ed2-4c0c-a,prompt,instrumentation,0,0.0
p00006,8395a570-7ed2-4c0c-a,prompt,timbre,0,0.0
p00006,8395a570-7ed2-4c0c-a,prompt,function,0,0.0
p00006,8395a570-7ed2-4c0c-a,prompt,theory,0,0.0
p00006,8395a570-7ed2-4c0c-a,prompt,story,1,0.75
p00007,8399844f-3c3d-44c7-b,prompt,genre,1,0.2
p00007,8399844f-3c3d-44c7-b,prompt,mood,0,0.0
p00007,8399844f-3c3d-44c7-b,prompt,instrumentation,1,0.2
p00007,8399844f-3c3d-44c7-b,prompt,timbre,1,0.4
