user_number,problem_hash,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics,age,gender,english_proficiency,english_native,native_language,years_music_making,years_formal_instruc,hours_per_week_music,ai_text_tools_usage,ai_music_tools_used,ai_music_tools_freq
1,f5e3d294-de4a-4be3-9,"super intense, this is the ending of a video game where you just finished the final goal before you do the hardest task yet, everything is on the line and youre filled with so much adrelining, the score in the background gets more intense the more you listen",0.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,ee0aa1b5-2bb6-4770-a,this is very much 30 year old dads who dont know if they want to be dads or not are like gong through a crisis and join together with all the other men who dont know what theyre doing,0.0,0.25,0.0,0.0,0.0,0.0,0.75,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,e89bff81-fa30-4d94-8,"very happy jazz, reminds me of the beginning of a modern christmas music where its panning to some ballroom over the main couple bantering with eachother",0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,e7de29c9-e9dd-4a06-a,laying down in the middle of the woods somewhere pondering what life is about through ambient music and i guess a dude talking in the back,0.2,0.2,0.2,0.0,0.0,0.0,0.4,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,e0aea9d2-f3fe-4e97-a,"convertable with the music blaring super loud, something that old school kids back in the day would listen to",0.25,0.0,0.0,0.25,0.25,0.0,0.25,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,d2cf4cdf-f303-4ef9-9,rock/heavy metal and a lot of screaming and loud music.,0.5,0.0,0.0,0.5,0.0,0.0,0.0,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,d2bec18a-bac3-48cb-b,"super groovey and funky, you can totally jiggy with this wearing a kind of disco suit. reminds me of rollar skates too",0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,c21d9593-e7e4-41fe-b,"more rock, except this time is feels almost reptillion? I cant really explain it other than the fac that this feels like a lizard has taken the form of a human body and is doing this",0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,a5ac307b-e75d-47b1-9,"this is rave music, theres such a disticint visual of someone shaking their head back and forth and sticking their tounge out in the process",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,9a4d75e7-de00-4931-9,"walking down the street on a sunny day near the public sports facilities like basketball, children nearby are sipping lemondade and are eating popsicles",0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,91f9b933-c02b-47df-9,"this has a lot of autotune in it to where it almost doesnt sound like a girl singing and more ai generated, and they eneunicate the end of their words a lot",0.0,0.0,0.25,0.5,0.0,0.25,0.0,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,86b81fdf-9b70-4200-a,this is giving very much theme song to a coming of age tv show or movie where someone is trying to find their place in the world,0.0,0.0,0.0,0.0,0.6,0.0,0.4,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,858415cc-1335-476e-a,mario kart. that is all. this is a mario kart theme song,0.0,0.0,0.0,0.0,0.5,0.0,0.5,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,7e425ed4-399b-4c72-a,walking in the rain expect your head is looking kind of a bit more up than down,0.0,0.5,0.0,0.0,0.0,0.0,0.5,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,65239b62-1cec-4b3a-9,"soulless rap, youre not listening to it to get anything from the world but to just have a nice sound in your ear, the voice is monotone enough to where youre not paying too much attention to it so you can listen to someone elses conversation",0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,652ed6ff-5366-4dea-9,"this is specially in a river. not the forest ground or the ocean but a cold river, youre staring off into the abyss watching the water flow as youre contemplating everything. Very etheral vibe to it",0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,0825d51f-0845-4009-a,"walking down by yourself in the city of newyork in the rain, where you feel like the main character, but no one is actually paying attention to you",0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,0cd8226a-a270-4165-a,"country, the definition of sitting on a truck, cracking open a beer, and talking about how much you hate your wife. very distinct american accent in the song",0.2,0.0,0.0,0.2,0.0,0.0,0.6,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,1c339881-c51b-4318-a,anime music that would be in the theme song thats super catchy and everyone bobs their head too,0.25,0.0,0.0,0.0,0.25,0.25,0.25,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
1,1fcc61c5-7033-469e-9,"walkout music, like big biker intimidating gang is just showoing on stage for the first time so you play music in the background to know that theyre legit",0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0.0,0.0,0.0,Weekly or few times per month,No,
2,fb21d861-9397-4126-8,This the musical score that plays when the main character is about to run a world record time at the olympics. The guitar is meant to represent their nerves before racing,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.5714285714285714,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,246bf3fe-a489-4545-a,"This is the definition of girl group k-pop. I don't listen to enough K-Pop to distinguish this from anything else, but it kind of sounds like the bridge in Touch by Katseye",0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,84deb4de-d0fb-4e1d-a,1920s jazz club. Slow and rhythmic. All it needs is a Louis Armstrong vocal overtop and you have a 1920s HIT,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,e66caf62-70ce-418a-8,"This is a J Cole song, and you can't convince me otherwise.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,d2c86c3d-07fc-4390-8,The vibes are dreamy bedroom pop. I would listen to this while laying on grass and staring up at either a night sky or a slightly cloudy sunset,0.2,0.0,0.0,0.2,0.0,0.0,0.6,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,a817156f-977c-4a72-8,Slow progressive instrumental track that you would see behind an anticipatory moment in a movie. A character has to make a serious decision then the beat drops when they get their consequences,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,9a496feb-6a67-4f22-a,Very generic grunge rock from the late 80s early 90s. This is something my mom would listen to with her windows down and banging her head,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,9a12553b-7ae1-4e35-9,"This has the vibes of 80s pop, but this song isn't something someone would unironically write. It has the tune of something that would play in a comedic video game commercial",0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,94894312-0261-4956-8,"Sounds like a generic JZ or Tupac song. Honestly don't know what that genre is called, but the beats match the lowkey rap.",0.25,0.25,0.0,0.25,0.0,0.25,0.0,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,82297794-bd7d-4718-9,Scientific Instrumental. Reminds me of the movie score in Oppenheimer or literally any by Hans Zimmer. I would definitely listen to this while studying to inspire myself,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.42857142857142855,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,7a83cea8-c6f4-4944-8,Solo pop song with a female artist. Sound very AI and unoriginal. Seems along the strain of todays K-Pop except it isn't K-Pop,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,5583d3b7-8692-4c18-8,"This is a Disney Movie number, but it is specifically a Disney Movie number from the 90s or earlier when Disney was in its prime for music. Think Tarzan and Mulan sound tracks",0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,566f7399-846c-4579-a,Great older RnB song. Would listen to in a jazz club if there was more trumpet. Piano running in the background,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,5d465d7f-d93d-47f3-9,"Classical ,elegant piano music. I can only imagine this is the style of music that piano composers wish to replicate",0.25,0.0,0.25,0.25,0.0,0.0,0.25,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,754e03f6-9cc8-4deb-b,"Giving slow love songs like the ones by Frankie Vallie and other artists in those veins. Also giving 60s beach boy vibes, so if I had to put it anywhere in time it would be then",0.2,0.0,0.0,0.2,0.0,0.2,0.4,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
2,2c080e35-5332-4784-a,Slow almost opera song. Would hear it in a very emotional music number where the main character just got her heartbroken,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,3.0,0.0,0.0,Monthly or less,No,
