id,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics
72dda986-55c6-450e-878e-bf0e6fdb5894,"a dark and sad country instrumental, acoustic guitar, slow, light drums, downtempo melancholic, (70 bpm), depressed,",0.09090909090909091,0.36363636363636365,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0
01d43ee2-c6ff-4b66-aac6-bfe70e1b613a,"contemporary r&b, soul jazz, female vocalist, smooth soul, r&b, pop soul, soul, Strong female vocals, funk,",0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0
56487772-7530-4ead-a83a-8db2c4c29583,a song about losing my keys in the style of amy winehouse,0.5,0.0,0.0,0.0,0.0,0.0,0.5
93a18e93-3e7e-4dfb-94ad-4cc4026c16ec,"Americana, Country, Bluegrass, Melodic, Passionate, Lush, Rhythmic, male vocalist, anthemic, uplifting, pop, playful,",0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.0,0.25,0.0
e7de29c9-e9dd-4a06-aa8d-4389eccadaee,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,",0.75,0.125,0.125,0.0,0.0,0.0,0.0
837f7d1b-23e2-4a0f-8b8a-92a7c4669a41,"Song about the power of love of a couple, opera, male voice",0.25,0.0,0.25,0.0,0.0,0.0,0.5
8395a570-7ed2-4c0c-a4f6-249e969ae66c,"a song about freelancers working on artificial intelligence projects on freelancer.com , pop,",0.5,0.0,0.0,0.0,0.0,0.0,0.5
8399844f-3c3d-44c7-b5a3-6665e6725b4c,"Add male vocalist with Russian accent. A screaming incoherently punk song called ""5 minutes with Derrick""",0.16666666666666666,0.0,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666
a5ac307b-e75d-47b1-90e3-89447e59a26a,"Grime, fast-paced, energetic, urban, aggressive, gritty, raw, intense, rhythmic, dynamic",0.1,0.4,0.0,0.2,0.0,0.3,0.0
45aa2509-8554-4bf3-88fb-e26a0bab1c69,"song about rubber ducks in the bath, heavy distorted guitar, deep bass, nu metal, rap rock",0.25,0.0,0.25,0.375,0.0,0.0,0.125
