url,song_id,title,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics
https://udio.com/songs/72dda986-55c6-450e-878e-bf0e6fdb5894,72dda986-55c6-450e-878e-bf0e6fdb5894,Melancholic Acoustic guitar jam,"a dark and sad country instrumental, acoustic guitar, slow, light drums, downtempo melancholic, (70 bpm), depressed,",0.1,0.4,0.2,0.0,0.0,0.3,0.0
https://udio.com/songs/01d43ee2-c6ff-4b66-aac6-bfe70e1b613a,01d43ee2-c6ff-4b66-aac6-bfe70e1b613a,We’re U-hauling,"contemporary r&b, soul jazz, female vocalist, smooth soul, r&b, pop soul, soul, Strong female vocals, funk,",0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
https://udio.com/songs/56487772-7530-4ead-a83a-8db2c4c29583,56487772-7530-4ead-a83a-8db2c4c29583,Jangle Blues,a song about losing my keys in the style of amy winehouse,0.5,0.0,0.0,0.0,0.0,0.0,0.5
https://udio.com/songs/93a18e93-3e7e-4dfb-94ad-4cc4026c16ec,93a18e93-3e7e-4dfb-94ad-4cc4026c16ec,"Wow, I Didn't Know That (You're Telling Me Now For The First Time), Americana, Country","Americana, Country, Bluegrass, Melodic, Passionate, Lush, Rhythmic, male vocalist, anthemic, uplifting, pop, playful,",0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.0,0.25,0.0
https://udio.com/songs/e7de29c9-e9dd-4a06-aa8d-4389eccadaee,e7de29c9-e9dd-4a06-aa8d-4389eccadaee,Sacred Sincerity,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,",0.625,0.25,0.125,0.0,0.0,0.0,0.0
https://udio.com/songs/837f7d1b-23e2-4a0f-8b8a-92a7c4669a41,837f7d1b-23e2-4a0f-8b8a-92a7c4669a41,Tomas ir Milda,"Song about the power of love of a couple, opera, male voice",0.25,0.0,0.25,0.0,0.0,0.0,0.5
https://udio.com/songs/8395a570-7ed2-4c0c-a4f6-249e969ae66c,8395a570-7ed2-4c0c-a4f6-249e969ae66c,Silicon Dreams,"a song about freelancers working on artificial intelligence projects on freelancer.com , pop,",0.25,0.0,0.0,0.0,0.0,0.0,0.75
https://udio.com/songs/8399844f-3c3d-44c7-b5a3-6665e6725b4c,8399844f-3c3d-44c7-b5a3-6665e6725b4c,Five Minutes with Derrick,"Add male vocalist with Russian accent. A screaming incoherently punk song called ""5 minutes with Derrick""",0.2,0.0,0.2,0.4,0.0,0.0,0.2
https://udio.com/songs/a5ac307b-e75d-47b1-90e3-89447e59a26a,a5ac307b-e75d-47b1-90e3-89447e59a26a,Streets of Power,"Grime, fast-paced, energetic, urban, aggressive, gritty, raw, intense, rhythmic, dynamic",0.1,0.3,0.0,0.3,0.0,0.3,0.0
https://udio.com/songs/45aa2509-8554-4bf3-88fb-e26a0bab1c69,45aa2509-8554-4bf3-88fb-e26a0bab1c69,Bathwater Anarchy,"song about rubber ducks in the bath, heavy distorted guitar, deep bass, nu metal, rap rock",0.4,0.0,0.4,0.0,0.0,0.0,0.2
https://udio.com/songs/45b5e210-3659-4726-975a-b201487962e9,45b5e210-3659-4726-975a-b201487962e9,Doo Doo Anthem,"rock, pop rock, alternative rock song about doo doo boy and his doo doo town",0.6,0.0,0.0,0.0,0.0,0.0,0.4
https://udio.com/songs/291b2f9c-c41b-4ab8-9161-d4214259419b,291b2f9c-c41b-4ab8-9161-d4214259419b,Tradewind Felines,a jimmy buffet style tropical song about two cats lili and boomer enjoying the tradewinds and listening to the birds,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.7142857142857143
https://udio.com/songs/df0117f3-743c-460c-905d-835ffb820bd3,df0117f3-743c-460c-905d-835ffb820bd3,Firulais Fury,"male vocalist, concept album, hard rock, warm, in the style of green day",0.4,0.0,0.2,0.2,0.0,0.0,0.2
https://udio.com/songs/df09d518-7cb4-43d2-b4b4-74b5b0c9500e,df09d518-7cb4-43d2-b4b4-74b5b0c9500e,ASAP Ferg - Veins of Fire (CRAZY BEAT SWITCH),"melomandiz beats intro, rage phonk beat, playboi carti, mad 808s",0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
