"url","title","duration","prompt","tags","lyrics","status"
"https://udio.com/songs/72dda986-55c6-450e-878e-bf0e6fdb5894","Melancholic Acoustic guitar jam","0:32","a dark and sad country instrumental, acoustic guitar, slow, light drums, downtempo melancholic, (70 bpm), depressed,","","",""
"https://udio.com/songs/01d43ee2-c6ff-4b66-aac6-bfe70e1b613a","We’re U-hauling","0:32","contemporary r&b, soul jazz, female vocalist, smooth soul, r&b, pop soul, soul, Strong female vocals, funk,","","",""
"https://udio.com/songs/56487772-7530-4ead-a83a-8db2c4c29583","Jangle Blues","0:32","a song about losing my keys in the style of amy winehouse","","",""
"https://udio.com/songs/93a18e93-3e7e-4dfb-94ad-4cc4026c16ec","Wow, I Didn't Know That (You're Telling Me Now For The First Time), Americana, Country","0:32","Americana, Country, Bluegrass, Melodic, Passionate, Lush, Rhythmic, male vocalist, anthemic, uplifting, pop, playful,","","",""
"https://udio.com/songs/e7de29c9-e9dd-4a06-aa8d-4389eccadaee","Sacred Sincerity","0:32","baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,","","",""
"https://udio.com/songs/837f7d1b-23e2-4a0f-8b8a-92a7c4669a41","Tomas ir Milda","0:32","Song about the power of love of a couple, opera, male voice","","",""
"https://udio.com/songs/8395a570-7ed2-4c0c-a4f6-249e969ae66c","Silicon Dreams","0:32","a song about freelancers working on artificial intelligence projects on freelancer.com , pop,","","",""
"https://udio.com/songs/8399844f-3c3d-44c7-b5a3-6665e6725b4c","Five Minutes with Derrick","0:32","Add male vocalist with Russian accent. A screaming incoherently punk song called ""5 minutes with Derrick""","","",""
"https://udio.com/songs/a5ac307b-e75d-47b1-90e3-89447e59a26a","Streets of Power","0:32","Grime, fast-paced, energetic, urban, aggressive, gritty, raw, intense, rhythmic, dynamic","","",""
"https://udio.com/songs/45aa2509-8554-4bf3-88fb-e26a0bab1c69","Bathwater Anarchy","0:32","song about rubber ducks in the bath, heavy distorted guitar, deep bass, nu metal, rap rock","","",""
"https://udio.com/songs/45b5e210-3659-4726-975a-b201487962e9","Doo Doo Anthem","0:32","rock, pop rock, alternative rock song about doo doo boy and his doo doo town","","",""
"https://udio.com/songs/291b2f9c-c41b-4ab8-9161-d4214259419b","Tradewind Felines","0:32","a jimmy buffet style tropical song about two cats lili and boomer enjoying the tradewinds and listening to the birds","","",""
"https://udio.com/songs/df0117f3-743c-460c-905d-835ffb820bd3","Firulais Fury","0:32","male vocalist, concept album, hard rock, warm, in the style of green day","","",""
"https://udio.com/songs/df09d518-7cb4-43d2-b4b4-74b5b0c9500e","ASAP Ferg - Veins of Fire (CRAZY BEAT SWITCH)","0:32","melomandiz beats intro, rage phonk beat, playboi carti, mad 808s","","",""
"https://udio.com/songs/f8439571-23e6-4c8a-900b-9323671ff4c9","Echoes of Freedom","0:32","hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,","","",""
"https://udio.com/songs/f87d8dbf-83a9-4c58-a66d-f3d86e8ece8b","Moorland Memories","0:32","Love and loss in north west England , pop rock,","","",""
"https://udio.com/songs/b1c7f9c0-da77-440b-8ed9-6d5d7979ba3e","Paw in Paw","0:32","A Beatles style song about two little kittens named rookie and Coco","","",""
"https://udio.com/songs/0a1282d5-b306-49f4-b0ff-f945c2ed2407","The Baker's Conversion","0:32","A song about programmer named Emmanuel who became disillusioned with the corporate world and became a baker., jazz, soul jazz,","","",""
"https://udio.com/songs/4edf7524-0d23-48f2-906a-ed5cc10c9197","Sausage Festivity","0:32","Write a melodic yet comedic song with sombre tones about eating lots of sausage","","",""
"https://udio.com/songs/85c89132-e0ce-42d5-973e-e0198f60e894","BIDADARIKU","0:32","a song about coming home after a long time, pop, indie, bass, japanese rock","","",""
"https://udio.com/songs/304f77ae-6961-4c73-b240-b82c6d9837c1","Sizzle and Pop","0:32","synth-pop, house, about chicken on a stick and fish oil","","",""
"https://udio.com/songs/9a12553b-7ae1-4e35-9c24-de4224ba47ba","Digital Daydreams","0:32","Carrie is off school sick with a bad cough but can play PlayStation","","",""
"https://udio.com/songs/9a2bd396-3954-4d40-b3bd-dc97f611ae73","Un coup de vent, un coup de sang.","0:32","guitar jazz, old french singer with south accent, sad ballade","","",""
"https://udio.com/songs/9a30a0c9-b192-4113-bc71-6b6b57bf15cf","Hands of Protest","0:32","A singer songwriter war protest song, seventies style, about a manicure set","","",""
"https://udio.com/songs/9a496feb-6a67-4f22-abf9-a46b34ff68ba","Tuskaa ja Unelmaa","0:32","pop rock, electronic, rock, male rock lead, synth-pop, male vocalist, catchy chorus","","",""
"https://udio.com/songs/9a4d75e7-de00-4931-9105-4d53c84471bf","Crispy Kingdom","0:32","A 90s hip hop rap about how fried chicken is the best food on the planet","","",""
"https://udio.com/songs/21ee8bb8-76c4-41d2-b18e-d09524c38093","Eternal Momentum","0:32","electronic, mixer boss bx 8, tech, 4/4 140 BMP, trance","","",""
"https://udio.com/songs/5de77170-9628-498c-88c4-eaa0f9a6bf47","Bethany's Feast","0:32","acoustic guitar, mandolin, piano, acoustic bass, percussion, bossa nova, female singer,","","",""
"https://udio.com/songs/5de9f530-88d9-44a5-943c-a53b321d1106","memories don't fade","0:32","synthwave, funk, saxophone, upbeat, 2019, serene, catchy, ambient, about a summer party, female vocalist,","","",""
