user_number,problem_hash,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics,age,gender,years_music_making,years_formal_instruc,hours_per_week_music,ai_text_tools_usage,ai_music_tools_used,ai_music_tools_freq
1,8b332c1e-f10e-4afc-a,한강에서 달리기 하며 듣기 좋은 가벼운 리듬의 4/4박자의 경쾌한 음악,,경쾌한,,가벼운,한강에서 달리기 하며 듣기 좋은,리듬의|4/4박자,,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,e374a9d0-706d-4bf3-a,"120 속도의 이상의 소리지르는 일렉트로닉 음반인 것 같음. 강한 헤비메탈 같은 느낌을 줌. 달리기나 점프 같은 게임을 할 때, 혹은 총싸움을 할때나 영화에서 액션 씬에서 나오는 음악 같음.",일렉트로닉|헤비메탈,,,소리지르는,게임|달리기|점프|총싸움|영화|액션 씬,120 속도,,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,c243ba53-0eea-4dfd-b,"일렉트로닉 기타가 도입부에 들어가고, 남성 보컬이지만 굉장히 예민하고, 샤우팅 기법이 도드라지는 음악. 주말 저녁 펍에서 들릴 법한 시끌벅적한 분위기의 노래.",,예민한|시끌벅적한,일렉트로닉 기타|남성 보컬|샤우팅,,주말 저녁 펍,도입부,,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,9a496feb-6a67-4f22-a,"일렉트레닉 음반으로 느껴지고, 일본어처럼 보여지는 남성보컬이 파워풀함. 액션영화에도 사용될 법한 느낌이 듬. 기분은 그다지 좋지 않은 정서를 줌",일렉트레닉,그다지 좋지 않은 정서,남성보컬,파워풀함,액션영화,,일본어처럼 보여지는,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,924be17b-f5f1-4628-9,시골에서 들리는 벌어지는 블랙 코미디의 배경음악 같은 분위기를 자아내는 남성보컬의 음악. 화음이 구성되어 있으며 기타소리가 들림.,,,남성보컬|기타,,배경음악,화음이 구성되어 있으며,시골|벌어지는 블랙 코미디,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,54f0f9eb-f14f-4d8d-b,환상적인 분위기를 묘사하는 듯한 여성보컬의 노래. 윈드차임벨 같은 효과가 도드라지고 마치 주말 따뜻한 햇살을 맞으며 일어나거나 연말의 따뜻하고 몽글몽글한 분위기를 자아냄,,환상적인|따뜻한|몽글몽글한,여성보컬|윈드차임벨 같은 효과,,,,주말 따뜻한 햇살을 맞으며 일어나는 장면|연말 분위기,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,56487772-7530-4ead-a,"영화에서 영향을 받은 고음반 같은 느낌의 음질이 느껴지고, 여성보컬이 소울풀하게 가창됨. 90년대 이전 유행했던 리듬과 선율이 주를 이루는 것 같음.",,,여성 보컬,고음반 같은 느낌의 음질|소울풀하게,영화에서 영향을 받은,90년대 이전 유행했던 리듬|선율,,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,566f7399-846c-4579-a,점음표가 도드라지는 4박자 계통의 남성 보컬의 노래. 그루브가 느껴지고 피아노 솔로와 남성보컬의 보컬이 돋보임. 중저음의 노래.,,,남성 보컬|피아노 솔로,중저음의,,점음표가 도드라지는|4박자 계통|그루브가 느껴지고|보컬이 돋보임,,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,58339466-2de5-4409-b,대중적인 2000년대의 미디움 템포의 팝 느낌. 여성보컬과 화음이 돋보이며 가창력이 느껴짐.,팝,,여성보컬|화음,가창력이 느껴짐,,대중적인|2000년대|미디움 템포,,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
1,72dda986-55c6-450e-8,"기타음악이 느슨하게 이어지고, 박자의 구분없이 선율이 이어지는 듯한 느낌을 자아냄. 보컬은 없고 클래식 기타의 주된 선율로 느껴짐. 2중주 이상으로 여겨짐.",,,클래식 기타,,,느슨하게 이어지는|박자의 구분없이 선율이 이어지는|주된 선율|2중주 이상,보컬은 없고,35 - 44,여성,10,10,4,매일 또는 주에 여러번,아니오,
