user_number,problem_hash,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics,age,gender,english_proficiency,english_native,native_language,years_music_making,years_formal_instruc,hours_per_week_music,ai_text_tools_usage,ai_music_tools_used,ai_music_tools_freq
1,f5e3d294-de4a-4be3-9,"super intense, this is the ending of a video game where you just finished the final goal before you do the hardest task yet, everything is on the line and youre filled with so much adrelining, the score in the background gets more intense the more you listen",,super intense|filled with so much adrenaline,,,ending of a video game,score gets more intense the more you listen,finished the final goal before the hardest task|everything is on the line,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,ee0aa1b5-2bb6-4770-a,this is very much 30 year old dads who dont know if they want to be dads or not are like gong through a crisis and join together with all the other men who dont know what theyre doing,,crisis|uncertainty,,,,,30 year old dads|men who dont know what theyre doing,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e89bff81-fa30-4d94-8,"very happy jazz, reminds me of the beginning of a modern christmas music where its panning to some ballroom over the main couple bantering with eachother",jazz,very happy,,,,,beginning of a modern christmas music|ballroom|main couple bantering with each other,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e7de29c9-e9dd-4a06-a,laying down in the middle of the woods somewhere pondering what life is about through ambient music and i guess a dude talking in the back,ambient,pondering,a dude talking,,,,laying down in the middle of the woods|pondering what life is about,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,e0aea9d2-f3fe-4e97-a,"convertable with the music blaring super loud, something that old school kids back in the day would listen to",,,,blaring super loud,,,something that old school kids back in the day would listen to,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,d2cf4cdf-f303-4ef9-9,rock/heavy metal and a lot of screaming and loud music.,rock|heavy metal,,,screaming|loud,,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,d2bec18a-bac3-48cb-b,"super groovey and funky, you can totally jiggy with this wearing a kind of disco suit. reminds me of rollar skates too",funky|disco,super groovey,,,dance,,,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,c21d9593-e7e4-41fe-b,"more rock, except this time is feels almost reptillion? I cant really explain it other than the fac that this feels like a lizard has taken the form of a human body and is doing this",rock,,,reptilian,,,a lizard has taken the form of a human body and is doing this,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,a5ac307b-e75d-47b1-9,"this is rave music, theres such a disticint visual of someone shaking their head back and forth and sticking their tounge out in the process",rave,,,,,,someone shaking their head back and forth and sticking their tongue out,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
1,9a4d75e7-de00-4931-9,"walking down the street on a sunny day near the public sports facilities like basketball, children nearby are sipping lemondade and are eating popsicles",,,,,,,walking down the street on a sunny day|near the public sports facilities|basketball|children nearby|sipping lemonade|eating popsicles,18 - 24,Woman / Female,Extremely Proficient (Native or Bilingual),Yes,English,0,0,0,Weekly or few times per month,No,
