id,prompt,genre,mood/emotion,instrumentation,timbre,function,music theory,story/narrative/lyrics
1,Guitar heavy folk song evoking feelings of joy and comradery,folk,joy|comradery,guitar,heavy,,,
2,The song lyrics is in Spanish and has a salsa rhythm that makes you want to have fun and dance,salsa,fun,,,dance,rhythm,spanish lyrics
3,A guitar-based pop ballad with a swaying 3/4 feel and punchy vocals by a male singer.,pop ballad,,guitar|male singer|vocals,punchy,,guitar-based|swaying 3/4 feel,
4,A track with a funky bassline and distorted lead synths that feels very chaotic and busy.,funky,chaotic,bassline|lead synths,distorted,,busy,
5,Genre seems like a band music and reminds me of fun happy party,band music,fun|happy,,,party,,
6,upbeat electronic music with occasional melody woah which keeps looping over and over,electronic,upbeat,,,,occasional melody|looping,woah
7,"Instrumental piano piece with a slightly classical touch and a nostalgic, bittersweet or blue mood.",classical,nostalgic|bittersweet|blue,piano,,,instrumental,
8,A background music bossa nova style. Useful for sunny scenes in movies. Or for a scene of a person just landed in an exotic country.,bossa nova,,,,background music|sunny scenes in movies,,a person just landed in an exotic country
9,Intense sentimental or emotional pop song featuring a melodic male voice accompanied by piano.,pop,intense|sentimental|emotional,male voice|piano,,,melodic,
10,"Bluesy rock and roll boogie with piano and distorted guitars, male singer and roomy drums.",rock and roll|boogie,,piano|guitars|male singer|drums,bluesy|distorted|roomy,,,
11,excessive cymbal sounds in rock song sung in Spanish with less singing and more instrumentals,rock,,cymbal,excessive,,less singing|more instrumentals,sung in spanish
12,"Guitar and drum backed rock song with a male singer, starting with drums only, slowly building up to all instruments + singer performing.",rock,,guitar|drum|male singer,,,starting with drums only|slowly building up|all instruments singer performing,
13,The song starts with an acoustic guitar and then a electric guitar is added. It is an ambient rock song.,ambient rock,,acoustic guitar|electric guitar,,,,
14,A slow paced arty electronic track that features a strange tuned guitar.,electronic,,guitar,arty|strange tuned,,slow paced,
15,"This is an instrumental song with electronic instruments, feels like it is some kind of poem or lullaby. The song reminds of happy childhood memories",,happy|childhood memories,electronic instruments,,,,instrumental song|poem|lullaby
16,Positive instrumental pop song with a strong rhythm and brass section.,pop,positive,brass section,,,instrumental|strong rhythm,
17,"This song features a heavy drum beat, synth bass and piano and has some synthesized back vocals through the end.",,,drum beat|synth bass|piano|synthesized back vocals,,,heavy|through the end,
18,Ambient folk-song leaning heavily on background string orchestra evoking a sense of calm and serenity,ambient|folk-song,calm|serenity,string orchestra,,background,leaning heavily on,
19,"New-era soundtrack starting with fast, minimalist beats, with strings added later. Suitable for heroic, sci-fi theme.",soundtrack,heroic,strings,minimalist,suitable for,fast beats|starting with|added later,sci-fi theme
20,"Male vocalist with a raspy voice singing over melancholic piano chords and drums increasing in intensity, with a slightly dissonant chorus featuring distorted guitars.",,melancholic,male vocalist|piano|drums|guitars,raspy|distorted,,increasing in intensity|slightly dissonant chorus,
21,"Multiple guitars with distortion, wah-wah play a western country motif. The motif is followed by a more garage rock guitar motif",western country|garage rock,,multiple guitars,distortion|wah-wah,,motif,
22,"This track is Hispanic genre, with Spanish lyrics, it has a sort of romantic, love theme, with trumpets, guitar and drums.",hispanic,romantic,trumpets|guitar|drums,,,,spanish lyrics|love theme
23,An intriguing piano entry leaves space for a high pitch male vocal in this song.,,intriguing,piano|male vocal,high pitch,,,
