song_id,respondent,prompt,description,similarity
fb21d861-9397-4126-8,1,"A song about the love between a human and an artificial intelligence, rock ballad",This the musical score that plays when the main character is about to run a world record time at the olympics. The guitar is meant to represent their nerves before racing,0.2771
fb21d861-9397-4126-8,12,"A song about the love between a human and an artificial intelligence, rock ballad",piano or keyboard with some hard guitar strums mixed with drums,0.2227
fb21d861-9397-4126-8,14,"A song about the love between a human and an artificial intelligence, rock ballad","e yourself with the task and the level of detail required for this study. With your own word, describe the music in sufficient detail that the description could be used to distinguish the musical example from another on",0.2415
fb21d861-9397-4126-8,23,"A song about the love between a human and an artificial intelligence, rock ballad","Exhilarating rock, cliff-changer-like introduction to a game or to a walkout of a wrestler. ",0.1466
fb21d861-9397-4126-8,33,"A song about the love between a human and an artificial intelligence, rock ballad",Building up rock melody with a piano and electric guitar building up the pace for the song.,0.379
fb21d861-9397-4126-8,44,"A song about the love between a human and an artificial intelligence, rock ballad",This follows synth beats and guitar strings and creates an intense feeling. This would be something that would be played when a hero is preparing for battle. ,0.3818
246bf3fe-a489-4545-a,1,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean.","This is the definition of girl group k-pop. I don't listen to enough K-Pop to distinguish this from anything else, but it kind of sounds like the bridge in Touch by Katseye",0.4812
246bf3fe-a489-4545-a,6,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean.",There is a woman singing. This is pop music. You can hear the drums. I think this is like Hispanic or something. The girl has the voice of an angel. I think there is some Spanish in the music. ,0.4643
246bf3fe-a489-4545-a,16,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean.","soft, light, and airy vocals, at times layered and with harmonies. very refreshing, sounds like an early 2000s-2010s kpop girl group. soft and light piano with shimmery effects. ",0.5954
246bf3fe-a489-4545-a,24,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean.","This sounds like an upbeat, medium paced, k-pop song that sounds progressive as it picks up and is a bit romantic",0.5614
246bf3fe-a489-4545-a,38,"synth-pop, 10s beautiful korean idol singer sings. Talks about we are doomed by AGI soon inkorean.",Has a old k-pop feel with a mellow tune and a nice female voice singing over it. Can't tell if it's korean or not. Very girl-pop.,0.6179
d8545371-3d1e-4271-8,4,"A song about fear of the speed of change future shock, acoustic guitar, lo-fi, female vocalist, Tracy Chapman",This music can be described as slow yet upbeat but it also has a nice vibe to it.,0.388
d8545371-3d1e-4271-8,20,"A song about fear of the speed of change future shock, acoustic guitar, lo-fi, female vocalist, Tracy Chapman","Lower muffled female voice, almost an alternate rock tone, not very exciting music",0.4765
d8545371-3d1e-4271-8,32,"A song about fear of the speed of change future shock, acoustic guitar, lo-fi, female vocalist, Tracy Chapman",quiet lyrics with light drums and very simple everything. i could hardly hear it. ,0.3709
d8545371-3d1e-4271-8,41,"A song about fear of the speed of change future shock, acoustic guitar, lo-fi, female vocalist, Tracy Chapman","Layered female singers, main singer is initially almost eery and is second singer is wispy, then song brighten up with last drum beat",0.367
d8545371-3d1e-4271-8,44,"A song about fear of the speed of change future shock, acoustic guitar, lo-fi, female vocalist, Tracy Chapman","This uses a guitar and drums, along with a woman’s voice to create a retro feeling. This follows the style of the artist Lana Del Ray.",0.4062
84deb4de-d0fb-4e1d-a,1,"Cool Jazz, Hard Bop, instrumental, acoustic, improvisation, mellow, energetic, nocturnal, soothing, playful, melodic, piano blues, piano jazz, piano",1920s jazz club. Slow and rhythmic. All it needs is a Louis Armstrong vocal overtop and you have a 1920s HIT,0.3528
84deb4de-d0fb-4e1d-a,9,"Cool Jazz, Hard Bop, instrumental, acoustic, improvisation, mellow, energetic, nocturnal, soothing, playful, melodic, piano blues, piano jazz, piano","A soft, smooth jazz instrumental that evokes feelings of romance and makes you want to dance. It could be used in casio or movies or elevators.",0.5204
84deb4de-d0fb-4e1d-a,21,"Cool Jazz, Hard Bop, instrumental, acoustic, improvisation, mellow, energetic, nocturnal, soothing, playful, melodic, piano blues, piano jazz, piano","Jazz: a piano freestyles while a slow-paced bass and rattle play rhythm. Fancy restaurant music, but also what producers what use to sample 80s - 00s rap songs.",0.5171
84deb4de-d0fb-4e1d-a,30,"Cool Jazz, Hard Bop, instrumental, acoustic, improvisation, mellow, energetic, nocturnal, soothing, playful, melodic, piano blues, piano jazz, piano","A sequenced arpeggiator moves in sixteenth notes, the sidechain ducking to the kick is obvious, a supersaw lead carries the theme, and the sub bass follows the kick pattern in short staccato blasts.",0.1876
84deb4de-d0fb-4e1d-a,34,"Cool Jazz, Hard Bop, instrumental, acoustic, improvisation, mellow, energetic, nocturnal, soothing, playful, melodic, piano blues, piano jazz, piano",A slow paced piano based smooth jazz sound anchored by a consistent drum beat. ,0.5346
8b332c1e-f10e-4afc-a,4,"synthwave, saxophone, 2024, ambient, beautiful, electronic dance music, synthesizer, melancholic, melodic, male vocalist, about summer fading away,",This music can be described as slow yet has upbeat vibes.,0.5361
8b332c1e-f10e-4afc-a,15,"synthwave, saxophone, 2024, ambient, beautiful, electronic dance music, synthesizer, melancholic, melodic, male vocalist, about summer fading away,",Peppy start with lots of instruments. Soft male vocals almsot like K-pop.,0.5144
8b332c1e-f10e-4afc-a,27,"synthwave, saxophone, 2024, ambient, beautiful, electronic dance music, synthesizer, melancholic, melodic, male vocalist, about summer fading away,","wait this actually sounds like a Justin Bieber song from 2016. The vocals sound similar, too. Maybe because it's electronic music, the male vocalist has that crisp, pre-pubescent voice just like Justin Bieber. ",0.4271
8b332c1e-f10e-4afc-a,40,"synthwave, saxophone, 2024, ambient, beautiful, electronic dance music, synthesizer, melancholic, melodic, male vocalist, about summer fading away,",This is a club or outdoor playing song that is faster and has a nice scratchy like upbeat backbeat.,0.3542
8b332c1e-f10e-4afc-a,48,"synthwave, saxophone, 2024, ambient, beautiful, electronic dance music, synthesizer, melancholic, melodic, male vocalist, about summer fading away,","Electronic pop, kinda sounds like owl city, USA artist can see this on a montage of a youtube video",0.43
8b21762a-c0c3-449e-8,7,old country song about crowdstrike making all the computer go blue screen of death,"Southern belle song. Country sounding. Male voice, backing male vocals. ",0.4084
8b21762a-c0c3-449e-8,20,old country song about crowdstrike making all the computer go blue screen of death,"Old country music, male's voice is muffled, very country tuned with the guitar and background music",0.5302
8b21762a-c0c3-449e-8,23,old country song about crowdstrike making all the computer go blue screen of death,"Western-like, sounds like something that would play in a catina while a tumbleweed rolls on through. ",0.2678
8b21762a-c0c3-449e-8,39,old country song about crowdstrike making all the computer go blue screen of death,It seems to be like an intro song in the movie which sort of shows the main hero doing something. it would be used like a background music,0.3145
8b21762a-c0c3-449e-8,45,old country song about crowdstrike making all the computer go blue screen of death,"Very country, from a long time ago. Heavy on the string instruments, and male singer doesn't like the city. ",0.5023
fa94bad4-6431-40a7-9,8,"hard bass drum, masculine male voice, latin, hip hop, raegetton","This music is in a different language than English, sounds like Spanish. The song is upbeat and features some slight hip hop style in the lyrics.",0.4364
fa94bad4-6431-40a7-9,13,"hard bass drum, masculine male voice, latin, hip hop, raegetton",A upbeat hispanic/latino song with female vocalist interchanging verses throughout the snippet,0.3304
fa94bad4-6431-40a7-9,25,"hard bass drum, masculine male voice, latin, hip hop, raegetton",sounds like uplifting music played at football matches in Brazil,0.3871
fa94bad4-6431-40a7-9,33,"hard bass drum, masculine male voice, latin, hip hop, raegetton",International song with a dance feeling melody accompanied by tradtional sounding instruments in South America.,0.3707
fa94bad4-6431-40a7-9,46,"hard bass drum, masculine male voice, latin, hip hop, raegetton","Upbeat, fast, and strong beat, female singer singing in Spanish. ",0.4407
f87d8dbf-83a9-4c58-a,6,"Love and loss in north west England , pop rock,","This is nostalgic. It sounds like a new Coldplay song. There is a man singing, and there are the guitar and drums in the background. ",0.4742
f87d8dbf-83a9-4c58-a,18,"Love and loss in north west England , pop rock,","Upbeat, motivating song that sounds like its from the 2000s. Could be in a movie/show. Male singing voice. ",0.3098
f87d8dbf-83a9-4c58-a,28,"Love and loss in north west England , pop rock,","Alternative rock with english singer. Some piano, drums, and guitar (not the typical electric guitar sound of rock).",0.5409
f87d8dbf-83a9-4c58-a,39,"Love and loss in north west England , pop rock,","Seems like a song looking forward to something great, has an optimistic feel, with a pop genre",0.3738
f87d8dbf-83a9-4c58-a,43,"Love and loss in north west England , pop rock,",Rock kind of song it is a love/breakup song maybe feels like he yearns that lost love,0.4505
f8439571-23e6-4c8a-9,8,"hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,","90s style hip hop song, slightly more upbeat and major focus on the lyrics and word play. ",0.3412
f8439571-23e6-4c8a-9,19,"hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,",i like this because it is cool I feel like and very strong with different tones,0.2163
f8439571-23e6-4c8a-9,22,"hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,",Story telling in the form of rap with consistent drum beats in the background.,0.4547
f8439571-23e6-4c8a-9,36,"hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,",This is hiphop music with a feeling of trying to make the community better,0.4477
f8439571-23e6-4c8a-9,47,"hip hop, hardcore hip hop, gangsta rap, east coast rap, west coast hip hop,","Chiptune bleeps riding a house kick, retro video game menu loop. Nostalgic and bouncy.",0.3728
f5e3d294-de4a-4be3-9,0,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful","super intense, this is the ending of a video game where you just finished the final goal before you do the hardest task yet, everything is on the line and youre filled with so much adrelining, the score in the background gets more intense the more you listen",0.5016
f5e3d294-de4a-4be3-9,5,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful",This music can be described as dramatic and very classic.,0.5821
f5e3d294-de4a-4be3-9,16,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful",begins with very dramatic string orchestra and crescendos as the track progresses with a band coming in ,0.5583
f5e3d294-de4a-4be3-9,31,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful","A fast-paced, cinematic orchestral piece and brass fanfares that create a high-stakes, epic battle atmosphere",0.6297
f5e3d294-de4a-4be3-9,41,"epic film score by hanz zimmer, rich orchestration, hybrid electronic, dark, suspenseful","Dramatic scene in an fantasy action movie where the underdog hero prevails, Dramatic orchestra",0.503
f190fc46-b387-4437-a,8,"Make a song about a summer day, but make it bluesy with a little bit of hip-hop flare to it","The music features choir like vocals, and calmer lyrics, it is a kind of R&B style of song with slower lyrics yet has hints of hip hop.",0.32
f190fc46-b387-4437-a,16,"Make a song about a summer day, but make it bluesy with a little bit of hip-hop flare to it","track sounds like a remix of a soulful, laidback spanish guitar with chill rap beat, has male vocals start out with harmonies and then rapping ",0.3402
f190fc46-b387-4437-a,25,"Make a song about a summer day, but make it bluesy with a little bit of hip-hop flare to it",makes me think I am at a nice resturant having dinner with my wife,0.1248
f190fc46-b387-4437-a,32,"Make a song about a summer day, but make it bluesy with a little bit of hip-hop flare to it","modern jazz mixed with a little bit of rap, simple backing track ",0.5292
f190fc46-b387-4437-a,49,"Make a song about a summer day, but make it bluesy with a little bit of hip-hop flare to it",A mix of voices singing followed by a slow and sensual male voice. Romantic ,0.3714
ee0aa1b5-2bb6-4770-a,0,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,",this is very much 30 year old dads who dont know if they want to be dads or not are like gong through a crisis and join together with all the other men who dont know what theyre doing,-0.0654
ee0aa1b5-2bb6-4770-a,4,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,",This music can be described as it has a very rock feeling to it as it begins. ,0.4455
ee0aa1b5-2bb6-4770-a,15,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,","Medium paced song with male vocals, drums and guitar in the background, has a steady and catchy rhythym",0.4274
ee0aa1b5-2bb6-4770-a,26,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,",Seems like a pop rock song that would be on the radio to introduce a child to rock music,0.3133
ee0aa1b5-2bb6-4770-a,41,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,",Rock semi-christian music about self-confidence sung by a 35-40 year old white man.,0.3767
ee0aa1b5-2bb6-4770-a,42,"rock, alternative rock, male vocalist, drums (drum set), keyboard, energetic, passionate, melodic, heavy,","classic rock, guitar prominent, drums, male singer, angsty lyrics, rebellious undertone",0.5715
ee070cac-0af1-4d86-9,3,"Country pop song, being young and moving on from your past, female vocalist, diva country, motivating, includes guitar solo",woman singing with guitars in the background. country kinda .,0.6511
ee070cac-0af1-4d86-9,15,"Country pop song, being young and moving on from your past, female vocalist, diva country, motivating, includes guitar solo","Peppy pop song with female vocals. Upbeat, with drums and guitar in the background.",0.5694
ee070cac-0af1-4d86-9,26,"Country pop song, being young and moving on from your past, female vocalist, diva country, motivating, includes guitar solo","Upbeat song that you would hear on the 2010s radio channel, really catchy female voice and chorus",0.6216
ee070cac-0af1-4d86-9,34,"Country pop song, being young and moving on from your past, female vocalist, diva country, motivating, includes guitar solo",A medium paced country themed song with drum and guitar instrumentation. ,0.6029
ee070cac-0af1-4d86-9,45,"Country pop song, being young and moving on from your past, female vocalist, diva country, motivating, includes guitar solo","Girl singing, old taylor swift vibes when she was kind of country still. About being strong",0.6793
ec9f0bca-7956-4fa4-8,11,"A bright and cheerful pop song sung by a female vocalist, in the style of a Japanese anime theme song.",Upbeat music being sung by a female in a foreign language with a happy vibe,0.7033
ec9f0bca-7956-4fa4-8,18,"A bright and cheerful pop song sung by a female vocalist, in the style of a Japanese anime theme song.","Japanese city pop-ish music, upbeat female singing voice. Electronic music sounds towards the end. Could be a theme/title opening music for a show/movie.",0.7052
ec9f0bca-7956-4fa4-8,31,"A bright and cheerful pop song sung by a female vocalist, in the style of a Japanese anime theme song.","A mid-tempo Japanese pop track with synthetic chords, clear female vocals, and a steady electronic drum beat that creates a bright, cheerful atmosphere.",0.7862
ec9f0bca-7956-4fa4-8,42,"A bright and cheerful pop song sung by a female vocalist, in the style of a Japanese anime theme song.","Electronic pop song with preppy female lead singer, not English, could be in a kids show or commercial, very basic and mainstream",0.5749
ec9f0bca-7956-4fa4-8,47,"A bright and cheerful pop song sung by a female vocalist, in the style of a Japanese anime theme song.","Latin percussion pocket with trumpet stabs on the hits, cheerful street-band afternoon feel.",0.3406
ea2b91c4-07d0-45b2-b,21,"guitar, heavy, percussion, male vocalist, bass guitar, heavy metal, alternative metal, electric guitar, passionate, dark, angry,","A song from a 2000s rock band. Melancholic, but still has the metal guitar, and drum instrumentals. The singer shouts to sing the chorus.",0.3803
ea2b91c4-07d0-45b2-b,24,"guitar, heavy, percussion, male vocalist, bass guitar, heavy metal, alternative metal, electric guitar, passionate, dark, angry,","Classic rock song, sang in foreign language, emotional vocals with distortioned and heavy guitars",0.3182
ea2b91c4-07d0-45b2-b,34,"guitar, heavy, percussion, male vocalist, bass guitar, heavy metal, alternative metal, electric guitar, passionate, dark, angry,",A rock and roll slightly heavy song with some sort of eastern European lyricism and multiple singers. ,0.2786
e89bff81-fa30-4d94-8,0,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast","very happy jazz, reminds me of the beginning of a modern christmas music where its panning to some ballroom over the main couple bantering with eachother",0.5096
e89bff81-fa30-4d94-8,11,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast",Jazz music with a good beat and slow older melodic singing,0.5487
e89bff81-fa30-4d94-8,13,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast",A 1940s-1950s vibe of a song with traditional instruments in the back which would be played over the radio or in a resturuant,0.5275
e89bff81-fa30-4d94-8,24,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast","A mix of jazz and big band music, highly instrumental with wind instruments, reminiscent of Frank Sinatra and a small dimly lit club",0.6506
e89bff81-fa30-4d94-8,39,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast","blues, jazz music at some small restaurant that holds local bands. music that's similar to something that's used in old movies",0.5522
e89bff81-fa30-4d94-8,43,"tv show intro, male vocalist, big band, piano, jazz, swing, standards, up beat, fast",Very jolly sounding sounds like a song you could get jiggy too also a very common beat to it,0.3156
e89bac5b-3b92-4554-b,7,"rock, about a friend named Alf who is in love again at 49 years old","Solo Male voice, band music. Generic band rock sound with drums guitar bass
",0.2757
e89bac5b-3b92-4554-b,15,"rock, about a friend named Alf who is in love again at 49 years old","Dark sounding guitar and drums, male vocals with a deep voice. Steady pace, not too fast or slow.",0.2749
e89bac5b-3b92-4554-b,30,"rock, about a friend named Alf who is in love again at 49 years old","Drums sound acoustic with brush patterns on the snare, the upright bass walks through changes with chromatic approach tones, a muted trumpet offers counterlines, and the ride cymbal is prominent throughout this section.",-0.0061
e89bac5b-3b92-4554-b,36,"rock, about a friend named Alf who is in love again at 49 years old","Chill carefree music with a male artist, something that sounds like its being played in a bar",0.2509
e7de29c9-e9dd-4a06-a,0,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,",laying down in the middle of the woods somewhere pondering what life is about through ambient music and i guess a dude talking in the back,0.2896
e7de29c9-e9dd-4a06-a,10,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,","The music consists of keyboard instrumentals, and the singer isn't really singing or rapping. It kind of sounds like slam poetry being delivered over some calming instrumentals.",0.2359
e7de29c9-e9dd-4a06-a,14,"baroque pop, dreamy pop, boy band, romantic, piano jazz, electric cello, deep house, chillout,","e yourself with the task and the level of detail required for this study. With your own word, describe the music in sufficient detail that the description could be used to distinguish the musical example from another on",0.3816
